age,marital,address,income,ed,employ,jobsat,gender,reside
55,1,12,72,1,23,5,f,4
56,0,29,153,1,35,4,m,1
28,1,9,28,3,4,3,f,3
24,1,4,26,4,0,1,m,3
25,0,2,23,2,5,2,m,2
45,1,9,76,3,13,2,m,2
42,0,19,40,3,10,2,m,1
35,0,15,57,2,1,1,f,1
46,0,26,24,1,11,5,f,2
34,1,0,89,3,12,4,m,6
55,1,17,72,3,2,3,f,2
28,0,3,24,4,4,5,m,1
31,1,9,40,4,0,2,f,4
42,0,8,137,3,3,1,f,1
35,0,8,70,3,9,4,m,3
52,1,24,159,4,16,5,m,2
21,1,1,37,3,0,1,m,7
32,0,0,28,1,2,4,f,2
42,0,9,109,3,20,3,f,1
40,1,12,117,2,19,5,f,4
30,0,3,23,1,3,3,m,1
48,0,14,21,3,2,3,m,1
39,1,17,17,4,2,3,m,5
42,1,5,34,2,13,3,f,4
45,1,12,115,1,27,4,f,5
51,1,10,47,1,9,3,m,3
39,1,9,33,3,1,1,m,4
49,0,29,135,2,14,5,f,1
52,0,20,272,1,35,5,m,1
53,1,29,41,1,9,4,m,2
34,0,10,20,3,0,1,f,1
47,1,6,22,3,7,4,m,2
58,0,2,60,4,1,1,m,1
25,1,0,58,3,4,2,f,5
57,1,28,92,2,25,5,f,4
30,1,7,21,4,4,1,m,2
21,0,0,13,3,0,1,f,2
24,0,5,24,2,2,3,f,1
56,0,7,213,4,30,4,f,1
24,0,2,19,2,0,3,m,1
41,0,13,59,3,17,3,m,1
57,1,30,544,2,39,2,f,3
32,0,2,32,2,10,5,m,6
24,0,5,35,4,0,2,m,1
49,1,12,35,1,4,3,m,3
21,0,0,22,3,0,1,f,2
33,1,12,39,2,8,2,f,5
56,0,12,134,2,19,3,m,1
54,1,16,103,1,28,2,m,6
44,1,8,240,4,11,3,f,2
20,0,1,20,2,0,2,m,2
47,0,15,118,2,26,5,m,1
48,0,15,78,4,18,4,f,1
25,0,2,68,4,0,2,f,3
52,0,13,27,1,10,2,m,1
38,1,0,19,1,1,1,f,2
65,1,5,20,2,10,3,m,2
28,1,2,31,3,0,3,m,2
51,1,28,51,2,9,3,m,4
61,1,34,84,2,18,3,m,2
46,1,10,133,5,16,5,m,3
43,1,8,109,2,20,3,f,2
28,0,7,24,3,2,2,m,1
39,0,6,57,3,12,2,f,1
37,0,16,24,3,7,1,m,2
59,1,35,32,2,0,1,m,2
55,0,29,65,4,10,4,f,1
51,1,20,70,3,8,3,m,2
48,1,28,321,5,11,4,m,2
40,0,4,71,3,6,2,m,3
28,0,3,35,3,6,5,f,1
39,1,16,85,2,21,5,m,6
30,1,0,20,3,3,4,f,4
40,1,5,33,3,15,5,f,4
55,0,18,35,4,2,2,f,1
48,1,0,50,2,11,3,f,4
48,1,4,1116,4,22,5,m,4
49,1,19,89,2,25,5,f,2
56,0,34,376,1,35,5,f,1
44,0,22,54,1,21,3,m,1
43,0,12,68,2,15,3,m,2
61,1,12,117,4,5,4,f,3
37,0,18,29,5,4,4,m,1
29,1,2,25,2,10,2,m,2
30,1,10,27,1,3,2,f,4
48,0,7,129,3,20,5,m,1
51,1,24,140,1,32,4,m,2
40,1,15,57,4,12,3,m,2
66,1,34,30,1,4,4,f,4
61,1,18,23,2,27,4,m,3
61,1,6,64,3,25,5,f,2
32,1,10,26,3,5,4,m,6
25,0,6,27,2,1,1,m,1
47,0,1,28,3,8,3,m,5
59,1,18,209,2,22,5,f,2
25,1,5,27,2,2,1,f,3
63,1,31,478,1,45,4,m,2
41,0,8,49,4,14,2,m,2
66,0,24,30,2,1,2,m,1
20,0,1,36,3,0,2,m,1
47,1,21,62,3,5,3,m,3
42,0,9,49,1,12,3,f,3
35,1,5,49,4,9,4,f,4
24,0,2,23,4,1,3,m,1
22,0,3,23,4,0,3,f,1
32,1,12,59,5,5,2,m,4
50,1,20,58,1,8,5,m,2
44,1,8,46,1,18,4,m,2
32,0,12,31,4,1,1,m,2
65,0,43,40,1,10,4,f,1
47,1,21,181,2,21,4,f,2
42,0,5,53,4,6,2,f,1
48,0,29,144,2,14,2,f,1
29,0,4,22,4,0,2,m,1
36,0,3,43,2,0,1,m,2
34,0,15,23,2,4,4,f,1
41,0,22,68,4,0,1,f,2
26,0,6,41,2,0,1,m,3
25,0,6,23,4,0,1,m,2
53,0,23,145,2,29,5,m,1
32,1,1,33,2,2,3,f,2
46,0,7,83,2,14,2,f,3
44,1,5,39,1,17,5,f,6
39,0,17,42,4,5,1,f,1
39,1,14,43,1,11,4,f,2
40,0,0,38,4,2,3,f,1
25,0,4,59,4,2,2,f,1
29,1,2,57,2,6,2,m,4
23,0,0,24,4,0,1,m,1
48,0,25,45,1,11,3,m,1
24,0,5,22,2,0,2,m,1
59,0,24,30,3,5,1,m,3
31,1,2,30,2,3,1,f,4
70,0,23,21,2,21,2,f,1
37,0,15,51,4,5,1,m,6
59,1,15,43,3,8,3,f,4
38,0,8,30,4,0,1,f,2
56,0,35,37,3,5,3,m,1
48,1,19,23,1,7,4,f,2
28,1,2,16,4,0,1,m,3
20,1,0,19,2,1,4,m,8
68,0,23,22,2,24,3,m,1
26,0,2,38,4,1,1,m,1
29,1,4,74,4,0,5,f,4
23,1,3,13,2,1,1,m,4
61,0,37,41,3,21,4,m,1
39,0,12,48,1,6,2,f,1
47,1,13,176,4,5,2,f,3
36,0,2,40,4,8,2,m,1
61,0,17,837,2,42,5,m,1
32,1,1,71,4,9,2,m,2
28,1,0,30,4,5,2,m,4
66,1,46,42,2,10,2,f,2
35,1,9,51,1,14,4,m,2
55,1,23,352,4,23,4,m,4
47,0,27,122,4,20,5,f,1
34,1,0,38,3,7,2,m,5
29,0,0,67,2,10,2,m,1
36,0,5,31,3,0,1,m,3
38,1,4,51,3,7,2,m,4
33,1,10,35,4,2,3,m,5
46,1,12,88,2,23,4,f,2
29,0,5,60,4,2,3,f,1
38,1,7,53,3,2,1,f,6
38,0,1,42,2,6,2,m,1
39,1,1,29,1,7,3,f,2
34,1,3,62,5,2,4,m,7
58,1,21,46,2,0,2,m,2
29,0,2,31,1,12,2,f,2
64,0,16,16,4,8,2,m,1
41,0,12,36,3,0,2,m,2
44,0,24,25,1,1,1,f,2
60,1,38,82,1,28,3,f,2
32,0,7,25,4,4,4,f,2
35,0,7,37,3,9,4,m,1
58,1,19,19,2,3,1,m,2
37,0,15,30,2,6,4,f,1
63,1,28,208,2,28,4,f,2
22,1,0,25,3,0,4,f,4
66,1,29,72,2,20,2,f,3
26,0,1,19,1,0,1,m,1
44,0,13,104,2,11,4,f,1
41,0,9,25,2,2,3,f,1
26,1,7,15,1,0,2,m,3
48,0,27,371,4,20,2,f,1
45,0,18,135,1,26,3,f,1
26,1,1,50,2,5,4,m,5
31,0,4,22,1,4,5,f,1
54,1,15,354,2,36,5,m,3
34,1,15,38,4,7,5,m,5
32,1,5,45,1,11,3,m,4
35,0,12,32,2,12,2,f,2
22,1,1,32,2,1,1,m,4
25,0,0,30,3,2,5,m,2
59,1,26,103,2,19,5,f,2
28,1,7,15,5,0,2,f,6
37,1,11,52,2,12,1,f,3
43,0,7,29,1,3,3,m,2
42,1,13,69,2,16,5,f,4
35,0,4,38,2,7,3,f,1
22,0,3,32,1,6,3,m,2
55,0,22,298,4,28,5,m,3
63,0,43,11,1,19,3,m,1
40,1,21,61,3,12,4,m,2
29,0,10,59,1,6,2,m,1
32,1,6,52,1,8,4,f,2
47,0,18,138,4,8,2,m,5
42,0,16,28,3,0,1,f,1
50,0,3,23,1,1,5,f,1
52,1,29,34,3,1,2,f,2
33,1,0,26,1,3,5,f,3
54,0,34,286,4,23,3,m,1
37,1,16,32,1,15,5,f,3
57,1,20,307,4,20,4,f,3
70,1,43,11,2,36,5,m,2
23,1,3,14,4,0,3,f,4
55,0,30,196,3,17,4,f,1
48,0,11,81,2,19,2,m,1
38,0,12,40,2,18,4,m,1
47,1,9,65,1,22,4,m,2
29,0,4,21,4,2,1,m,2
27,1,3,26,3,0,1,m,4
29,1,10,40,3,7,2,f,4
28,0,2,26,1,3,2,m,1
47,1,24,55,3,8,4,f,5
45,1,14,22,3,0,1,f,2
24,0,0,19,3,0,1,m,3
41,1,13,204,2,20,5,f,4
18,0,0,13,2,0,1,m,2
42,0,23,140,3,16,3,f,1
45,1,25,46,4,8,2,m,2
34,1,2,40,5,6,1,f,6
38,1,1,105,3,9,4,f,4
36,0,6,137,4,12,5,m,3
19,1,0,16,2,0,1,f,6
28,0,5,24,1,5,3,f,2
41,1,19,32,2,12,4,m,2
54,0,8,47,4,7,4,f,1
42,0,1,207,3,14,5,f,2
47,1,13,118,4,18,5,m,2
61,0,31,288,4,38,5,f,1
66,1,1,13,1,33,5,m,2
51,1,17,73,3,3,4,m,3
55,0,7,33,1,9,2,f,1
36,1,4,28,3,5,2,m,2
39,1,3,63,3,5,4,m,3
38,0,2,30,4,0,1,m,1
44,1,11,89,3,15,4,f,2
52,1,25,78,1,27,5,f,2
55,0,28,1045,5,23,5,f,1
58,1,30,97,1,28,5,m,4
61,0,0,119,2,19,4,m,1
64,0,18,10,1,6,2,f,1
45,1,11,242,3,22,5,f,4
66,0,21,333,1,44,5,m,1
31,0,5,29,2,2,1,f,1
31,0,4,26,2,4,4,m,2
36,1,1,56,4,9,5,m,6
20,0,0,21,3,0,1,f,3
40,1,0,35,3,4,5,f,2
38,1,12,40,2,3,2,m,2
51,0,17,89,2,12,4,m,1
47,0,16,36,1,7,5,f,1
31,1,10,32,3,4,4,f,2
34,0,8,44,4,4,1,f,1
35,1,7,41,2,7,3,m,3
66,0,36,45,1,16,5,m,1
63,0,11,118,1,14,5,f,1
34,1,14,102,4,9,2,f,4
37,1,6,31,3,7,3,f,5
34,1,11,37,1,5,5,m,2
36,1,7,109,4,4,1,m,2
42,0,17,42,4,8,4,m,1
63,0,12,143,1,39,5,f,1
30,1,5,50,4,5,5,f,4
58,1,5,280,1,37,4,f,6
36,0,11,37,2,15,3,f,1
53,1,31,393,3,32,4,f,2
43,0,3,86,4,10,2,f,1
33,0,3,24,4,3,4,f,1
37,1,2,88,4,5,3,f,3
43,1,13,66,3,8,3,f,2
45,0,4,196,3,21,4,f,1
37,0,5,27,3,15,3,f,1
19,0,0,15,2,0,1,m,3
55,0,11,66,2,15,2,m,4
40,0,12,94,2,3,5,m,1
